Question_ID,Category_Code,Priority_Score,Category_Rank,Category_Display_Order,Include_Quick,Display_Order_Quick,Include_Standard,Display_Order_Standard,Include_Deep,Display_Order_Deep
GOD_01,GOD,10,1,1,TRUE,1,TRUE,1,TRUE,1
GOD_02,GOD,9.2,3,1,FALSE,,TRUE,2,TRUE,2
GOD_03,GOD,7.58,5,1,FALSE,,FALSE,,TRUE,3
GOD_04,GOD,9.6,2,1,FALSE,,TRUE,3,TRUE,4
GOD_05,GOD,7.62,4,1,FALSE,,FALSE,,TRUE,5
GOD_06,GOD,6.38,7,1,FALSE,,FALSE,,TRUE,6
GOD_07,GOD,6.8,6,1,FALSE,,FALSE,,TRUE,7
SCR_01,SCR,9.6,1,2,TRUE,2,TRUE,4,TRUE,8
SCR_02,SCR,9.6,1,2,TRUE,3,TRUE,5,TRUE,9
SCR_03,SCR,7.18,10,2,FALSE,,FALSE,,TRUE,10
SCR_04,SCR,8.38,5,2,FALSE,,TRUE,6,TRUE,11
SCR_05,SCR,7.6,6,2,FALSE,,FALSE,,TRUE,12
SCR_06,SCR,7.2,9,2,FALSE,,FALSE,,TRUE,13
SCR_07,SCR,9.6,1,2,TRUE,4,TRUE,7,TRUE,14
SCR_08,SCR,7.6,6,2,FALSE,,FALSE,,TRUE,15
SCR_09,SCR,9.6,1,2,TRUE,5,TRUE,8,TRUE,16
SCR_10,SCR,7.6,6,2,FALSE,,FALSE,,TRUE,17
SAL_01,SAL,9.22,6,3,FALSE,,TRUE,9,TRUE,18
SAL_02,SAL,9.2,8,3,FALSE,,FALSE,,TRUE,19
SAL_03,SAL,9.6,3,3,TRUE,6,TRUE,10,TRUE,20
SAL_04,SAL,7.16,14,3,FALSE,,FALSE,,TRUE,21
SAL_05,SAL,9.22,6,3,FALSE,,TRUE,11,TRUE,22
SAL_06,SAL,9.6,3,3,TRUE,7,TRUE,12,TRUE,23
SAL_07,SAL,9.6,3,3,TRUE,8,TRUE,13,TRUE,24
SAL_08,SAL,10,1,3,TRUE,9,TRUE,14,TRUE,25
SAL_09,SAL,7.2,13,3,FALSE,,FALSE,,TRUE,26
SAL_10,SAL,8.78,10,3,FALSE,,FALSE,,TRUE,27
SAL_11,SAL,8.38,11,3,FALSE,,FALSE,,TRUE,28
