Denomination_ID,Denomination_Name,Mode,ToleranceScore,Theol_Cons_Lib_avg,Social_Cons_Lib_avg,Counter_Pro_Modern_avg,Super_Nat_avg,Cult_Sep_Eng_avg,Cleric_Egal_avg,Div_Hum_Agency_avg,Commun_Indiv_avg,Liturg_Spont_avg,Sacram_Funct_avg,Literal_Crit_avg,Intellect_Exper_avg
DENOM_001,The Apostolic Church (Early Church),quick,37.348,19.801,43.163,20.5,29.441,20.033,29.457,32.824,29.387,24.197,30.3,22.538,34.203
DENOM_001,The Apostolic Church (Early Church),standard,37.505,19.565,43.163,20.271,29.063,20.033,29.457,31.626,29.387,24.197,30.3,22.926,34.203
DENOM_001,The Apostolic Church (Early Church),deep,37.505,19.565,43.163,20.271,29.063,20.033,29.457,31.626,29.387,24.197,30.3,22.926,34.203
DENOM_031,Imperial Nicene Church,quick,20.545,7.877,14.919,5.261,24.794,43.236,9.917,27.083,5.523,6.375,6.006,30.93,27.804
DENOM_031,Imperial Nicene Church,standard,20.798,8.022,14.919,5.444,24.912,43.236,9.917,27.396,5.523,6.375,6.006,31.008,27.804
DENOM_031,Imperial Nicene Church,deep,20.798,8.022,14.919,5.444,24.912,43.236,9.917,27.396,5.523,6.375,6.006,31.008,27.804
DENOM_032,Roman Catholic Church (Latin Rite),quick,23.182,16.077,26.813,11.094,26.398,60.095,4.653,29.302,5.092,6.365,3.089,41.192,37.056
DENOM_032,Roman Catholic Church (Latin Rite),standard,24.46,16.138,26.813,11.222,26.332,60.095,4.653,29.115,5.092,6.365,3.089,41.248,37.056
DENOM_032,Roman Catholic Church (Latin Rite),deep,24.46,16.138,26.813,11.222,26.332,60.095,4.653,29.115,5.092,6.365,3.089,41.248,37.056
DENOM_068,Eastern Orthodox Church,quick,15.671,17.097,34.565,9.345,29.091,57.749,11.693,34.667,3.534,3.673,4.093,44.869,43.767
DENOM_068,Eastern Orthodox Church,standard,15.944,17.206,34.565,9.715,29.726,57.749,11.693,36.146,3.534,3.673,4.093,44.337,43.767
DENOM_068,Eastern Orthodox Church,deep,15.944,17.206,34.565,9.715,29.726,57.749,11.693,36.146,3.534,3.673,4.093,44.337,43.767
DENOM_064,Coptic Orthodox Church,quick,18.312,13.869,28.446,6.255,27.258,49.931,10.34,30.234,2.283,3.175,4.901,38.846,39.535
DENOM_064,Coptic Orthodox Church,standard,18.519,14.1,28.446,6.737,27.974,49.931,10.34,32.245,2.283,3.175,4.901,38.527,39.535
DENOM_064,Coptic Orthodox Church,deep,18.519,14.1,28.446,6.737,27.974,49.931,10.34,32.245,2.283,3.175,4.901,38.527,39.535
DENOM_047,Old Catholic Church (Union of Utrecht),quick,47.258,25.911,70.693,21.44,32.51,76.973,21.592,34.097,6.98,3.61,11.816,53.642,40.281
DENOM_047,Old Catholic Church (Union of Utrecht),standard,48.127,25.893,70.693,21.506,32.621,76.973,21.592,34.627,6.98,3.61,11.816,53.386,40.281
DENOM_047,Old Catholic Church (Union of Utrecht),deep,48.127,25.893,70.693,21.506,32.621,76.973,21.592,34.627,6.98,3.61,11.816,53.386,40.281
DENOM_052,SSPX (Society of St. Pius X),quick,16.349,13.369,25.241,8.516,25.705,48.734,4.389,29.002,5.458,5.14,2.936,36.726,32.436
DENOM_052,SSPX (Society of St. Pius X),standard,16.776,13.426,25.241,8.607,25.676,48.734,4.389,28.908,5.458,5.14,2.936,36.793,32.436
DENOM_052,SSPX (Society of St. Pius X),deep,16.776,13.426,25.241,8.607,25.676,48.734,4.389,28.908,5.458,5.14,2.936,36.793,32.436
DENOM_124,Oxford Movement (Tractarians),quick,35.413,12.776,23.702,7.848,27.964,57.23,9.179,29.488,6.829,5.099,6.353,37.026,32.1
DENOM_124,Oxford Movement (Tractarians),standard,35.634,12.986,23.702,8.175,28.515,57.23,9.179,31.012,6.829,5.099,6.353,36.833,32.1
DENOM_124,Oxford Movement (Tractarians),deep,35.634,12.986,23.702,8.175,28.515,57.23,9.179,31.012,6.829,5.099,6.353,36.833,32.1
DENOM_102,Lutheran Church–Missouri Synod (LCMS),quick,16.594,9.871,13.332,20.247,34.77,29.054,41.532,11.479,44.012,19.923,38.806,21.965,11.867
DENOM_102,Lutheran Church–Missouri Synod (LCMS),standard,16.832,9.875,13.332,19.921,34.045,29.054,41.532,11.796,44.012,19.923,38.806,22.542,11.867
DENOM_102,Lutheran Church–Missouri Synod (LCMS),deep,16.832,9.875,13.332,19.921,34.045,29.054,41.532,11.796,44.012,19.923,38.806,22.542,11.867
DENOM_087,Unitas Fratrum (Historic Hussites),quick,21.205,13.011,17.416,20.834,39.352,10.202,52.532,35.363,58.136,37.862,55.543,17.163,22.278
DENOM_087,Unitas Fratrum (Historic Hussites),standard,21.471,12.95,17.416,20.631,38.811,10.202,52.532,34.071,58.136,37.862,55.543,17.594,22.278
DENOM_087,Unitas Fratrum (Historic Hussites),deep,21.471,12.95,17.416,20.631,38.811,10.202,52.532,34.071,58.136,37.862,55.543,17.594,22.278
