Denomination_ID,DENOM_001,DENOM_031,DENOM_032,DENOM_068,DENOM_064,DENOM_047,DENOM_052,DENOM_124,DENOM_102,DENOM_087,DENOM_114,DENOM_109,DENOM_121,DENOM_131,DENOM_144,DENOM_148,DENOM_153,DENOM_167,DENOM_176,DENOM_195,DENOM_180,DENOM_184,DENOM_190,DENOM_187,DENOM_120,DENOM_229,DENOM_157,DENOM_221,DENOM_013,DENOM_230
DENOM_001,99.277,71.738,70.146,64.638,68.708,65.784,67.401,72.514,66.904,71.945,67.918,66.475,72.188,68.019,66.7,59.636,60.858,66.509,69.931,58.644,63.084,59.65,47.549,56.954,47.498,54.877,60.152,49.459,64.488,70.855
DENOM_031,71.738,98.867,85.487,83.74,87.549,84.452,85.167,92.691,65.488,67.513,60.618,65.456,70.933,53.247,56.355,50.926,57.844,52.766,62.389,51.3,55.066,44.931,41.588,43.53,39.585,46.443,53.629,37.807,55.108,54.199
DENOM_032,70.146,85.487,99.763,85.696,87.493,85.835,95.605,90.471,56.188,57.637,54.168,59.319,67.11,49.104,50.246,40.493,59.881,48.056,55.152,41.302,46.824,49.12,39.673,43.599,40.925,47.895,50.468,38.964,49.285,49.159
DENOM_068,64.638,83.74,85.696,99.167,95.792,85.851,84.641,86.478,51.448,54.468,46.484,55.501,61.685,48.022,44.266,37.458,57.65,43.42,53.155,39.365,45.03,46.612,39.559,46.394,37.997,46.366,47.613,36.135,49.031,43.219
DENOM_064,68.708,87.549,87.493,95.792,99.725,85.337,86.936,88.302,55.639,57,51.012,59.2,64.758,48.459,48.663,40.549,55.928,46.441,55.863,42.338,47.976,49.044,43.417,45.932,38.207,44.983,48.886,36.592,49.77,46.883
DENOM_047,65.784,84.452,85.835,85.851,85.337,98.889,83.19,88.035,53.515,58.074,52.284,63.268,68.578,58.592,49.557,39.855,72.412,50.579,55.699,39.791,45.404,50.665,38.419,48.257,54.542,65.687,57.286,51.973,50.766,50.05
DENOM_052,67.401,85.167,95.605,84.641,86.936,83.19,100,89.498,59.176,59.019,55.254,57.005,64.691,49.036,51.511,44.199,56.453,48.358,54.033,44.372,48.568,44.885,39.429,46.139,38.169,46.051,47.108,35.477,48.976,49.203
DENOM_124,72.514,92.691,90.471,86.478,88.302,88.035,89.498,99.445,62.667,65.605,59.54,69.42,73.488,55.572,55.191,48.308,62.517,54.566,60.749,48.857,54.793,52.241,46.39,49.837,43.93,51.232,57.145,42.759,53.647,54.599
DENOM_102,66.904,65.488,56.188,51.448,55.639,53.515,59.176,62.667,99.807,74.57,89.702,78.311,77.377,62.175,71.133,68.25,68.495,66.457,57.583,58.668,68.684,44.371,42.634,51.822,38.032,43.573,63.04,36.924,54.605,69.197
DENOM_087,71.945,67.513,57.637,54.468,57,58.074,59.019,65.605,74.57,100,77.783,79.007,74.849,75.807,76.193,80.639,65.908,72.415,62.883,63.242,73.928,47.434,56.015,56.862,43.213,49.884,70.486,46.888,62.566,76.103
DENOM_114,67.918,60.618,54.168,46.484,51.012,52.284,55.254,59.54,89.702,77.783,99.886,81.701,80.459,65.873,76.672,73.072,69.668,68.498,55.496,58.585,70.445,48.86,46.686,53.432,40.809,48.862,64.45,41.458,54.083,73.237
DENOM_109,66.475,65.456,59.319,55.501,59.2,63.268,57.005,69.42,78.311,79.007,81.701,100,81.21,73.926,71.015,69.957,81.569,73.851,60.885,56.098,71.793,55.464,52.884,61.15,51.179,61.763,76.966,51.262,56.846,72.575
DENOM_121,72.188,70.933,67.11,61.685,64.758,68.578,64.691,73.488,77.377,74.849,80.459,81.21,99.475,67.287,72.281,61.767,81.41,67.182,62.001,56.045,61.904,54.889,44.605,56.037,48.491,59.496,71.213,47.693,55.861,67.462
DENOM_131,68.019,53.247,49.104,48.022,48.459,58.592,49.036,55.572,62.175,75.807,65.873,73.926,67.287,97.383,85.848,80.198,72.665,83.242,63.287,54.998,71.972,57.379,59.068,78.888,58.357,67.388,80.531,64.494,60.798,86.175
DENOM_144,66.7,56.355,50.246,44.266,48.663,49.557,51.511,55.191,71.133,76.193,76.672,71.015,72.281,85.848,99.77,88.82,67.213,88.445,64.03,60.269,76.287,55.522,53.315,73.078,48.757,56.273,78.45,53.23,59.804,94.609
DENOM_148,59.636,50.926,40.493,37.458,40.549,39.855,44.199,48.308,68.25,80.639,73.072,69.957,61.767,80.198,88.82,99.985,57.853,83.414,58.71,64.21,75.017,44.239,56.558,66.618,41.263,46.358,69.463,45.445,61.326,88.399
DENOM_153,60.858,57.844,59.881,57.65,55.928,72.412,56.453,62.517,68.495,65.908,69.668,81.569,81.41,72.665,67.213,57.853,99.801,70.451,54.268,43.674,56.938,53.213,42.781,62.177,63.453,76.56,77.799,59.126,54.171,70.262
DENOM_167,66.509,52.766,48.056,43.42,46.441,50.579,48.358,54.566,66.457,72.415,68.498,73.851,67.182,83.242,88.445,83.414,70.451,99.97,67.604,55.445,72.709,53.566,51.061,73.945,51.052,56.11,83.553,53.938,60.758,93.05
DENOM_176,69.931,62.389,55.152,53.155,55.863,55.699,54.033,60.749,57.583,62.883,55.496,60.885,62.001,63.287,64.03,58.71,54.268,67.604,100,70.398,64.514,68.364,58.955,57.414,47.773,52.73,56.908,49.08,67.53,65.864
DENOM_195,58.644,51.3,41.302,39.365,42.338,39.791,44.372,48.857,58.668,63.242,58.585,56.098,56.045,54.998,60.269,64.21,43.674,55.445,70.398,100,72.568,61.485,75.264,52.32,37.416,43.056,46.131,38.572,63.109,59.793
DENOM_180,63.084,55.066,46.824,45.03,47.976,45.404,48.568,54.793,68.684,73.928,70.445,71.793,61.904,71.972,76.287,75.017,56.938,72.709,64.514,72.568,100,60.997,58.128,58.721,42.52,47.552,65.806,46.151,60.566,77.834
DENOM_184,59.65,44.931,49.12,46.612,49.044,50.665,44.885,52.241,44.371,47.434,48.86,55.464,54.889,57.379,55.522,44.239,53.213,53.566,68.364,61.485,60.997,99.719,63.868,53.648,46.15,56.273,51.36,51.201,56.117,57.88
DENOM_190,47.549,41.588,39.673,39.559,43.417,38.419,39.429,46.39,42.634,56.015,46.686,52.884,44.605,59.068,53.315,56.558,42.781,51.061,58.955,75.264,58.128,63.868,100,66.385,37.767,43.087,45.786,43.076,59.603,56.461
DENOM_187,56.954,43.53,43.599,46.394,45.932,48.257,46.139,49.837,51.822,56.862,53.432,61.15,56.037,78.888,73.078,66.618,62.177,73.945,57.414,52.32,58.721,53.648,66.385,100,47.727,54.361,67.255,50.724,51.895,76.701
DENOM_120,47.498,39.585,40.925,37.997,38.207,54.542,38.169,43.93,38.032,43.213,40.809,51.179,48.491,58.357,48.757,41.263,63.453,51.052,47.773,37.416,42.52,46.15,37.767,47.727,100,86.895,56.718,77.989,46.406,51.298
DENOM_229,54.877,46.443,47.895,46.366,44.983,65.687,46.051,51.232,43.573,49.884,48.862,61.763,59.496,67.388,56.273,46.358,76.56,56.11,52.73,43.056,47.552,56.273,43.087,54.361,86.895,99.705,62.25,82.574,53.304,57.226
DENOM_157,60.152,53.629,50.468,47.613,48.886,57.286,47.108,57.145,63.04,70.486,64.45,76.966,71.213,80.531,78.45,69.463,77.799,83.553,56.908,46.131,65.806,51.36,45.786,67.255,56.718,62.25,99.301,61.752,56.897,83.446
DENOM_221,49.459,37.807,38.964,36.135,36.592,51.973,35.477,42.759,36.924,46.888,41.458,51.262,47.693,64.494,53.23,45.445,59.126,53.938,49.08,38.572,46.151,51.201,43.076,50.724,77.989,82.574,61.752,99.793,47.743,55.132
DENOM_013,64.488,55.108,49.285,49.031,49.77,50.766,48.976,53.647,54.605,62.566,54.083,56.846,55.861,60.798,59.804,61.326,54.171,60.758,67.53,63.109,60.566,56.117,59.603,51.895,46.406,53.304,56.897,47.743,100,61.24
DENOM_230,70.855,54.199,49.159,43.219,46.883,50.05,49.203,54.599,69.197,76.103,73.237,72.575,67.462,86.175,94.609,88.399,70.262,93.05,65.864,59.793,77.834,57.88,56.461,76.701,51.298,57.226,83.446,55.132,61.24,99.25
