Denomination_ID,DENOM_001,DENOM_031,DENOM_032,DENOM_068,DENOM_064,DENOM_047,DENOM_052,DENOM_124,DENOM_102,DENOM_087,DENOM_114,DENOM_109,DENOM_121,DENOM_131,DENOM_144,DENOM_148,DENOM_153,DENOM_167,DENOM_176,DENOM_195,DENOM_180,DENOM_184,DENOM_190,DENOM_187,DENOM_120,DENOM_229,DENOM_157,DENOM_221,DENOM_013,DENOM_230
DENOM_001,99.261,71.181,69.715,64.735,68.931,65.562,67.004,72.455,66.152,71.364,67.157,66.664,71.64,67.874,66.219,59.375,60.616,66.311,69.737,58.253,63.134,59.373,47.156,56.817,47.101,54.564,59.785,49.14,65.985,70.415
DENOM_031,71.181,98.878,85.357,83.553,87.468,84.285,85.055,92.619,64.815,66.917,59.775,64.603,70.394,52.47,55.709,50.244,57.073,51.809,61.78,50.475,54.084,43.727,40.286,42.178,39.092,46,52.649,37.335,56.122,53.489
DENOM_032,69.715,85.357,99.778,86.132,87.978,85.629,95.62,90.681,55.346,57.026,53.233,59.031,66.582,48.469,49.508,39.844,59.399,47.422,54.78,40.712,46.274,48.517,38.972,42.945,40.604,47.46,49.856,38.65,49.932,48.399
DENOM_068,64.735,83.553,86.132,99.137,95.639,85.701,84.978,86.189,51.203,54.275,46.048,53.576,60.782,46.735,42.972,36.128,56.399,41.819,52.135,38.002,43.079,44.906,37.495,44.421,37.782,46.338,46.079,35.889,50.655,41.952
DENOM_064,68.931,87.468,87.978,95.639,99.715,85.171,87.327,88.07,55.538,56.876,50.737,57.417,63.946,47.172,47.481,39.282,54.606,44.919,54.907,41.04,46.114,47.404,41.469,43.925,37.996,44.91,47.377,36.356,51.445,45.704
DENOM_047,65.562,84.285,85.629,85.701,85.171,98.887,83.055,87.838,53.244,57.723,51.962,62.276,68.008,57.825,48.707,38.942,71.849,49.559,55.059,38.858,44.11,49.576,36.992,46.993,54.377,65.494,56.373,51.789,51.569,49.201
DENOM_052,67.004,85.055,95.62,84.978,87.327,83.055,100,89.663,58.57,58.54,54.535,56.696,64.289,48.578,51.006,43.762,56.058,47.867,53.643,43.899,48.133,44.328,38.822,45.635,37.858,45.7,46.576,35.174,49.251,48.677
DENOM_124,72.455,92.619,90.681,86.189,88.07,87.838,89.663,99.429,62.735,65.39,59.51,68.378,72.862,54.577,54.336,47.353,61.585,53.36,59.981,47.831,53.491,50.903,44.885,48.315,43.499,50.891,55.952,42.352,54.98,53.693
DENOM_102,66.152,64.815,55.346,51.203,55.538,53.244,58.57,62.735,99.801,74.076,89.344,79.126,77,62.201,70.605,68.412,68.746,66.634,57.46,58.601,69.031,43.885,42.112,51.585,37.831,43.441,63.119,36.712,56.481,68.652
DENOM_087,71.364,66.917,57.026,54.275,56.876,57.723,58.54,65.39,74.076,100,77.355,79.603,74.408,75.822,75.929,80.728,65.804,72.362,62.579,62.957,74.273,46.878,55.873,56.733,42.789,49.513,70.386,46.563,63.864,75.791
